,2024-11-30,2023-11-30,2022-11-30,2021-11-30
Free Cash Flow,7873000000.0,6942000000.0,7396000000.0,6882000000.0
Repurchase Of Capital Stock,-9500000000.0,-4400000000.0,-6550000000.0,-3950000000.0
Repayment Of Debt,0.0,-500000000.0,0.0,0.0
Issuance Of Debt,1997000000.0,0.0,0.0,0.0
Issuance Of Capital Stock,361000000.0,314000000.0,278000000.0,291000000.0
Capital Expenditure,-183000000.0,-360000000.0,-442000000.0,-348000000.0
Interest Paid Supplemental Data,143000000.0,106000000.0,103000000.0,100000000.0
Income Tax Paid Supplemental Data,1727000000.0,1854000000.0,778000000.0,843000000.0
End Cash Position,7613000000.0,7141000000.0,4236000000.0,3844000000.0
Beginning Cash Position,7141000000.0,4236000000.0,3844000000.0,4478000000.0
Effect Of Exchange Rate Changes,-9000000.0,9000000.0,-51000000.0,-26000000.0
Changes In Cash,481000000.0,2896000000.0,443000000.0,-608000000.0
Financing Cash Flow,-7724000000.0,-5182000000.0,-6825000000.0,-4301000000.0
Cash Flow From Continuing Financing Activities,-7724000000.0,-5182000000.0,-6825000000.0,-4301000000.0
Net Other Financing Charges,-582000000.0,-596000000.0,-553000000.0,-642000000.0
Net Common Stock Issuance,-9139000000.0,-4086000000.0,-6272000000.0,-3659000000.0
Common Stock Payments,-9500000000.0,-4400000000.0,-6550000000.0,-3950000000.0
Common Stock Issuance,361000000.0,314000000.0,278000000.0,291000000.0
Net Issuance Payments Of Debt,1997000000.0,-500000000.0,0.0,0.0
Net Long Term Debt Issuance,1997000000.0,-500000000.0,0.0,0.0
Long Term Debt Payments,0.0,-500000000.0,0.0,0.0
Long Term Debt Issuance,1997000000.0,0.0,0.0,0.0
Investing Cash Flow,149000000.0,776000000.0,-570000000.0,-3537000000.0
Cash Flow From Continuing Investing Activities,149000000.0,776000000.0,-570000000.0,-3537000000.0
Net Investment Purchase And Sale,332000000.0,1136000000.0,-2000000.0,-507000000.0
Sale Of Investment,499000000.0,1189000000.0,953000000.0,1068000000.0
Purchase Of Investment,-167000000.0,-53000000.0,-955000000.0,-1575000000.0
Net Business Purchase And Sale,0.0,0.0,-126000000.0,-2682000000.0
Purchase Of Business,0.0,0.0,-126000000.0,-2682000000.0
Net PPE Purchase And Sale,-183000000.0,-360000000.0,-442000000.0,-348000000.0
Purchase Of PPE,-183000000.0,-360000000.0,-442000000.0,-348000000.0
Operating Cash Flow,8056000000.0,7302000000.0,7838000000.0,7230000000.0
Cash Flow From Continuing Operating Activities,8056000000.0,7302000000.0,7838000000.0,7230000000.0
Change In Working Capital,144000000.0,-355000000.0,336000000.0,292000000.0
Change In Other Working Capital,309000000.0,536000000.0,536000000.0,1053000000.0
Change In Payables And Accrued Expense,308000000.0,86000000.0,92000000.0,144000000.0
Change In Accrued Expense,196000000.0,146000000.0,7000000.0,162000000.0
Change In Payable,112000000.0,-60000000.0,85000000.0,-18000000.0
Change In Account Payable,44000000.0,-49000000.0,66000000.0,-20000000.0
Change In Tax Payable,68000000.0,-11000000.0,19000000.0,2000000.0
Change In Income Tax Payable,68000000.0,-11000000.0,19000000.0,2000000.0
Change In Prepaid Assets,-616000000.0,-818000000.0,-94000000.0,-475000000.0
Change In Receivables,143000000.0,-159000000.0,-198000000.0,-430000000.0
Changes In Account Receivables,143000000.0,-159000000.0,-198000000.0,-430000000.0
Other Non Cash Items,10000000.0,3000000.0,10000000.0,7000000.0
Stock Based Compensation,1833000000.0,1718000000.0,1440000000.0,1069000000.0
Unrealized Gain Loss On Investment Securities,-35000000.0,-10000000.0,29000000.0,-4000000.0
Asset Impairment Charge,78000000.0,0.0,0.0,
Deferred Tax,-468000000.0,-426000000.0,328000000.0,183000000.0
Deferred Income Tax,-468000000.0,-426000000.0,328000000.0,183000000.0
Depreciation Amortization Depletion,857000000.0,872000000.0,856000000.0,788000000.0
Depreciation And Amortization,857000000.0,872000000.0,856000000.0,788000000.0
Depreciation,857000000.0,872000000.0,856000000.0,788000000.0
Operating Gains Losses,77000000.0,72000000.0,83000000.0,73000000.0
Gain Loss On Sale Of PPE,77000000.0,72000000.0,83000000.0,73000000.0
Net Income From Continuing Operations,5560000000.0,5428000000.0,4756000000.0,4822000000.0
