,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,32878000000.0,32217000000.0,-16893000000.0,-14726000000.0
Repurchase Of Capital Stock,0.0,0.0,-6000000000.0,0.0
Repayment Of Debt,-16954000000.0,-34008000000.0,-47001000000.0,-20668000000.0
Issuance Of Debt,5142000000.0,18129000000.0,62719000000.0,26959000000.0
Capital Expenditure,-82999000000.0,-52729000000.0,-63645000000.0,-61053000000.0
Interest Paid Supplemental Data,2364000000.0,3112000000.0,2142000000.0,1772000000.0
Income Tax Paid Supplemental Data,12308000000.0,11179000000.0,6035000000.0,3688000000.0
End Cash Position,82312000000.0,73890000000.0,54253000000.0,36477000000.0
Beginning Cash Position,73890000000.0,54253000000.0,36477000000.0,42377000000.0
Effect Of Exchange Rate Changes,-1301000000.0,403000000.0,-1093000000.0,-364000000.0
Changes In Cash,9723000000.0,19234000000.0,18869000000.0,-5536000000.0
Financing Cash Flow,-11812000000.0,-15879000000.0,9718000000.0,6291000000.0
Cash Flow From Continuing Financing Activities,-11812000000.0,-15879000000.0,9718000000.0,6291000000.0
Net Other Financing Charges,,-271000000.0,-248000000.0,-162000000.0
Net Common Stock Issuance,0.0,0.0,-6000000000.0,0.0
Common Stock Payments,0.0,0.0,-6000000000.0,0.0
Net Issuance Payments Of Debt,-11812000000.0,-15879000000.0,15718000000.0,6291000000.0
Net Short Term Debt Issuance,82000000.0,-7548000000.0,3999000000.0,203000000.0
Short Term Debt Payments,-5060000000.0,-25677000000.0,-37554000000.0,-7753000000.0
Short Term Debt Issuance,5142000000.0,18129000000.0,41553000000.0,7956000000.0
Net Long Term Debt Issuance,-11894000000.0,-8331000000.0,11719000000.0,6088000000.0
Long Term Debt Payments,-11894000000.0,-8331000000.0,-9447000000.0,-12915000000.0
Long Term Debt Issuance,0.0,0.0,21166000000.0,19003000000.0
Investing Cash Flow,-94342000000.0,-49833000000.0,-37601000000.0,-58154000000.0
Cash Flow From Continuing Investing Activities,-94342000000.0,-49833000000.0,-37601000000.0,-58154000000.0
Net Investment Purchase And Sale,-9602000000.0,4139000000.0,29036000000.0,-773000000.0
Sale Of Investment,16403000000.0,5627000000.0,31601000000.0,59384000000.0
Purchase Of Investment,-26005000000.0,-1488000000.0,-2565000000.0,-60157000000.0
Net Business Purchase And Sale,-7082000000.0,-5839000000.0,-8316000000.0,-1985000000.0
Purchase Of Business,-7082000000.0,-5839000000.0,-8316000000.0,-1985000000.0
Net PPE Purchase And Sale,-77658000000.0,-48133000000.0,-58321000000.0,-55396000000.0
Sale Of PPE,5341000000.0,4596000000.0,5324000000.0,5657000000.0
Purchase Of PPE,-82999000000.0,-52729000000.0,-63645000000.0,-61053000000.0
Operating Cash Flow,115877000000.0,84946000000.0,46752000000.0,46327000000.0
Cash Flow From Continuing Operating Activities,115877000000.0,84946000000.0,46752000000.0,46327000000.0
Change In Working Capital,-15541000000.0,-11541000000.0,-20886000000.0,-19611000000.0
Change In Other Working Capital,4007000000.0,4578000000.0,2216000000.0,2314000000.0
Change In Other Current Assets,-14483000000.0,-12265000000.0,-13275000000.0,-9018000000.0
Change In Payables And Accrued Expense,68000000.0,3045000000.0,1387000000.0,5725000000.0
Change In Accrued Expense,-2904000000.0,-2428000000.0,-1558000000.0,2123000000.0
Change In Payable,2972000000.0,5473000000.0,2945000000.0,3602000000.0
Change In Account Payable,2972000000.0,5473000000.0,2945000000.0,3602000000.0
Change In Inventory,-1884000000.0,1449000000.0,-2592000000.0,-9487000000.0
Change In Receivables,-3249000000.0,-8348000000.0,-8622000000.0,-9145000000.0
Changes In Account Receivables,-3249000000.0,-8348000000.0,-8622000000.0,-9145000000.0
Other Non Cash Items,2012000000.0,-748000000.0,16966000000.0,-14306000000.0
Stock Based Compensation,22011000000.0,24023000000.0,19621000000.0,12757000000.0
Deferred Tax,-4648000000.0,-5876000000.0,-8148000000.0,-310000000.0
Deferred Income Tax,-4648000000.0,-5876000000.0,-8148000000.0,-310000000.0
Depreciation Amortization Depletion,52795000000.0,48663000000.0,41921000000.0,34433000000.0
Depreciation And Amortization,52795000000.0,48663000000.0,41921000000.0,34433000000.0
Net Income From Continuing Operations,59248000000.0,30425000000.0,-2722000000.0,33364000000.0
