,2024-07-31,2023-07-31,2022-07-31,2021-07-31
Tax Effect Of Unusual Items,-148980000.0,-125316000.0,82984000.0,-112761000.0
Tax Rate For Calcs,0.156,0.177,0.184,0.201
Normalized EBITDA,16702000000.0,18179000000.0,16343000000.0,16119000000.0
Total Unusual Items,-955000000.0,-708000000.0,451000000.0,-561000000.0
Total Unusual Items Excluding Goodwill,-955000000.0,-708000000.0,451000000.0,-561000000.0
Net Income From Continuing Operation Net Minority Interest,10320000000.0,12613000000.0,11812000000.0,10591000000.0
Reconciled Depreciation,2507000000.0,1726000000.0,1957000000.0,1862000000.0
Reconciled Cost Of Revenue,17166000000.0,19801000000.0,17665000000.0,16277000000.0
EBITDA,15747000000.0,17471000000.0,16794000000.0,15558000000.0
EBIT,13240000000.0,15745000000.0,14837000000.0,13696000000.0
Net Interest Income,359000000.0,535000000.0,116000000.0,184000000.0
Interest Expense,1006000000.0,427000000.0,360000000.0,434000000.0
Interest Income,1365000000.0,962000000.0,476000000.0,618000000.0
Normalized Income,11126020000.0,13195684000.0,11443984000.0,11039239000.0
Net Income From Continuing And Discontinued Operation,10320000000.0,12613000000.0,11812000000.0,10591000000.0
Total Expenses,40833000000.0,41436000000.0,37582000000.0,36099000000.0
Total Operating Income As Reported,12181000000.0,15031000000.0,13969000000.0,12833000000.0
Diluted Average Shares,4062000000.0,4105000000.0,4192000000.0,4236000000.0
Basic Average Shares,4043000000.0,4093000000.0,4170000000.0,4222000000.0
Diluted EPS,2.54,3.07,2.82,2.5
Basic EPS,2.55,3.08,2.83,2.51
Diluted NI Availto Com Stockholders,10320000000.0,12613000000.0,11812000000.0,10591000000.0
Net Income Common Stockholders,10320000000.0,12613000000.0,11812000000.0,10591000000.0
Net Income,10320000000.0,12613000000.0,11812000000.0,10591000000.0
Net Income Including Noncontrolling Interests,10320000000.0,12613000000.0,11812000000.0,10591000000.0
Net Income Continuous Operations,10320000000.0,12613000000.0,11812000000.0,10591000000.0
Tax Provision,1914000000.0,2705000000.0,2665000000.0,2671000000.0
Pretax Income,12234000000.0,15318000000.0,14477000000.0,13262000000.0
Other Income Expense,-1095000000.0,-779000000.0,386000000.0,-641000000.0
Other Non Operating Income Expenses,-140000000.0,-71000000.0,-65000000.0,-80000000.0
Special Income Charges,-789000000.0,-531000000.0,-6000000.0,-886000000.0
Restructuring And Mergern Acquisition,789000000.0,531000000.0,6000000.0,886000000.0
Gain On Sale Of Security,-166000000.0,-177000000.0,457000000.0,325000000.0
Net Non Operating Interest Income Expense,359000000.0,535000000.0,116000000.0,184000000.0
Interest Expense Non Operating,1006000000.0,427000000.0,360000000.0,434000000.0
Interest Income Non Operating,1365000000.0,962000000.0,476000000.0,618000000.0
Operating Income,12970000000.0,15562000000.0,13975000000.0,13719000000.0
Operating Expense,21858000000.0,20191000000.0,18273000000.0,18175000000.0
Depreciation Amortization Depletion Income Statement,698000000.0,282000000.0,313000000.0,215000000.0
Depreciation And Amortization In Income Statement,698000000.0,282000000.0,313000000.0,215000000.0
Amortization,698000000.0,282000000.0,313000000.0,215000000.0
Amortization Of Intangibles Income Statement,698000000.0,282000000.0,313000000.0,215000000.0
Research And Development,7983000000.0,7551000000.0,6774000000.0,6549000000.0
Selling General And Administration,13177000000.0,12358000000.0,11186000000.0,11411000000.0
Selling And Marketing Expense,10364000000.0,9880000000.0,9085000000.0,9259000000.0
General And Administrative Expense,2813000000.0,2478000000.0,2101000000.0,2152000000.0
Other Gand A,2813000000.0,2478000000.0,2101000000.0,2152000000.0
Gross Profit,34828000000.0,35753000000.0,32248000000.0,31894000000.0
Cost Of Revenue,18975000000.0,21245000000.0,19309000000.0,17924000000.0
Total Revenue,53803000000.0,56998000000.0,51557000000.0,49818000000.0
Operating Revenue,53803000000.0,56998000000.0,51557000000.0,49818000000.0
